# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  103       3.680923954661e-10       1.083693312767e-13      -3.306749326848e-12       4.532799861946e-16       1.000292176744e-11       1.437602815941e-12      -7.317742249912e-15 
  104       3.722514286699e-10       1.102499700919e-13      -3.393990842603e-12       4.622560037207e-16       9.751535726398e-12       1.408582263630e-12      -7.123759630817e-15 
  105       3.764335954731e-10       1.121032529123e-13      -3.480977513961e-12       4.713319793616e-16       9.507497026293e-12       1.380368785085e-12      -6.960620026260e-15 
  106       3.806387827552e-10       1.139274646869e-13      -3.567645330632e-12       4.805085096937e-16       9.270845138391e-12       1.352963360272e-12      -6.826183820866e-15 
  107       3.848667684793e-10       1.157208963084e-13      -3.653930182854e-12       4.897862012099e-16       9.041567831030e-12       1.326360578838e-12      -6.718026703613e-15 
  108       3.891172174006e-10       1.174818457338e-13      -3.739767903357e-12       4.991656703335e-16       8.819599391805e-12       1.300548422067e-12      -6.633431947910e-15 
  109       3.933896767748e-10       1.192086191061e-13      -3.825094309330e-12       5.086475434337e-16       8.604818849779e-12       1.275508044845e-12      -6.569382691671e-15 
  110       3.976835720663e-10       1.208995318745e-13      -3.909845244384e-12       5.182324568395e-16       8.397048197673e-12       1.251213557621e-12      -6.522554217385e-15 
  111       4.019982026565e-10       1.225529099161e-13      -3.993956620516e-12       5.279210568544e-16       8.196050614071e-12       1.227631808363e-12      -6.489306232194e-15 
  112       4.063327375524e-10       1.241670906566e-13      -4.077364460070e-12       5.377139997716e-16       8.001528685620e-12       1.204722164524e-12      -6.465675147965e-15 
  113       4.106862110945e-10       1.257404241914e-13      -4.160004937709e-12       5.476119518876e-16       7.813122629226e-12       1.182436295002e-12      -6.447366361366e-15 
